"GO.ID","Term","Annotated","Significant","Expected","weight01","Fisher","padj","Category","Lineage","Ontology"
"GO:0006457","protein folding",6,1,0.52,"0.426",0.426,1,"Strengthened","Trebouxia","BP"
"GO:0009056","catabolic process",7,1,0.61,"0.478",0.478,1,"Strengthened","Trebouxia","BP"
"GO:0043412","macromolecule modification",8,1,0.7,"0.525",0.525,1,"Strengthened","Trebouxia","BP"
"GO:0006351","DNA-templated transcription",12,1,1.04,"0.678",0.678,1,"Strengthened","Trebouxia","BP"
"GO:0006810","transport",14,1,1.22,"0.736",0.736,1,"Strengthened","Trebouxia","BP"
"GO:0009987","cellular process",154,13,13.39,"0.955",0.955,1,"Strengthened","Trebouxia","BP"
"GO:0016053","organic acid biosynthetic process",7,1,0.61,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0043170","macromolecule metabolic process",92,10,8,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0006082","organic acid metabolic process",13,1,1.13,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0010467","gene expression",64,8,5.57,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0006397","mRNA processing",7,1,0.61,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0034654","nucleobase-containing compound biosynthetic process",30,3,2.61,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0008380","RNA splicing",5,1,0.43,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0019752","carboxylic acid metabolic process",12,1,1.04,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0009059","macromolecule biosynthetic process",67,8,5.83,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0051179","localization",18,1,1.57,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0090304","nucleic acid metabolic process",44,6,3.83,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:1901605","alpha-amino acid metabolic process",7,1,0.61,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0170033","L-amino acid metabolic process",7,1,0.61,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:1901607","alpha-amino acid biosynthetic process",5,1,0.43,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0019538","protein metabolic process",50,5,4.35,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0032774","RNA biosynthetic process",24,3,2.09,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0043436","oxoacid metabolic process",13,1,1.13,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0046394","carboxylic acid biosynthetic process",7,1,0.61,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0008652","amino acid biosynthetic process",5,1,0.43,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0016071","mRNA metabolic process",8,1,0.7,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0170039","proteinogenic amino acid metabolic process",7,1,0.61,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0141187","nucleic acid biosynthetic process",24,3,2.09,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0051604","protein maturation",9,1,0.78,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0006139","nucleobase-containing compound metabolic process",52,6,4.52,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0008150","biological_process",160,14,13.91,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0051234","establishment of localization",17,1,1.48,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0044281","small molecule metabolic process",26,1,2.26,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0000375","RNA splicing, via transesterification reactions",5,1,0.43,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0044238","primary metabolic process",118,11,10.26,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0008152","metabolic process",130,12,11.3,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0044283","small molecule biosynthetic process",9,1,0.78,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",5,1,0.43,"1.000",1,1,"Strengthened","Trebouxia","BP"
"GO:0005975","carbohydrate metabolic process",11,0,0.96,"1.000",1,1,"Strengthened","Trebouxia","BP"
