"GO.ID","Term","Annotated","Significant","Expected","weight01","Fisher_p","padj","Lineage","Condition","Ontology","N_focal","N_universe"
"GO:0051716","cellular response to stimulus",11,1,0.5,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0032774","RNA biosynthetic process",27,1,1.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0033554","cellular response to stress",11,1,0.5,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0044085","cellular component biogenesis",9,1,0.41,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0043170","macromolecule metabolic process",101,3,4.59,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0005975","carbohydrate metabolic process",12,2,0.55,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0065007","biological regulation",15,1,0.68,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0008104","protein localization",11,1,0.5,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006950","response to stress",13,1,0.59,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0141187","nucleic acid biosynthetic process",27,1,1.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0010467","gene expression",67,2,3.05,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0008150","biological_process",174,8,7.91,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0050789","regulation of biological process",13,1,0.59,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0008152","metabolic process",142,6,6.45,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0044281","small molecule metabolic process",28,2,1.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0051179","localization",19,1,0.86,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0033036","macromolecule localization",12,1,0.55,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0051234","establishment of localization",18,1,0.82,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0019538","protein metabolic process",52,2,2.36,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0009058","biosynthetic process",94,3,4.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0009059","macromolecule biosynthetic process",70,2,3.18,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0070727","cellular macromolecule localization",11,1,0.5,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0071840","cellular component organization or biogenesis",21,1,0.95,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0034654","nucleobase-containing compound biosynthetic process",34,1,1.55,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
